route_id,route_name,origin,destination,primary_mode,budget_tco2e_monthly,budget_tco2e_quarterly,legal_limit_tco2e_annual,ytd_tco2e,mtd_tco2e,threshold_pct,risk_level,last_updated,regulatory_zone,operator_id
RT-MUM-DEL,Mumbai-Delhi Express,Mumbai,Delhi,road,85.0,255.0,1020.0,48.2,36.7,43.2,low,2026-01-17,IN-ROAD-NH48,OP-001
RT-DEL-KOL,Delhi-Kolkata Rail,Delhi,Kolkata,rail,60.0,180.0,720.0,31.4,12.8,21.3,low,2026-01-17,IN-RAIL-HWH,OP-002
RT-MUM-CHN,Mumbai-Chennai Sea,Mumbai,Chennai,sea,120.0,360.0,1440.0,89.6,93.7,78.1,warning,2026-01-17,IN-SEA-COASTAL,OP-003
RT-CHN-BLR,Chennai-Bangalore Road,Chennai,Bangalore,road,50.0,150.0,600.0,38.2,42.1,84.2,warning,2026-01-17,IN-ROAD-NH44,OP-004
RT-MUM-PUN,Mumbai-Pune EV,Mumbai,Pune,road,15.0,45.0,180.0,4.2,2.1,14.0,low,2026-01-17,IN-ROAD-EXPY,OP-005
RT-DEL-AIR,Delhi-Mumbai Air,Delhi,Mumbai,air,30.0,90.0,360.0,28.1,29.1,97.0,critical,2026-01-17,IN-AIR-DGCA,OP-006
RT-KOL-BHU,Kolkata-Bhubaneswar Rail,Kolkata,Bhubaneswar,rail,40.0,120.0,480.0,14.5,8.7,21.8,low,2026-01-17,IN-RAIL-ECoR,OP-007
RT-HYD-BLR,Hyderabad-Bangalore Road,Hyderabad,Bangalore,road,55.0,165.0,660.0,22.1,19.8,36.0,low,2026-01-17,IN-ROAD-NH44,OP-008
RT-MUM-AHM,Mumbai-Ahmedabad Road,Mumbai,Ahmedabad,road,70.0,210.0,840.0,45.3,38.2,54.6,low,2026-01-17,IN-ROAD-NH48,OP-009
RT-MUM-SEA2,Mumbai-Kolkata Sea,Mumbai,Kolkata,sea,150.0,450.0,1800.0,112.4,61.7,41.1,low,2026-01-17,IN-SEA-COASTAL,OP-003
